stage,step,train_objective,validation_mse,beta,alpha5,lambda_imag,seed
adam,490,2.8533333518880653e-09,2.1886398729325578e-17,0.06666666604202483,0.8,0.4166666666666667,0
adam,500,2.8533333604678866e-09,3.004346638499316e-17,0.0666666660362506,0.8,0.4166666666666667,0
adam,510,2.8533333753082616e-09,4.447011321882227e-17,0.06666666603554393,0.8,0.4166666666666667,0
adam,520,2.8533334041554203e-09,7.327793040758528e-17,0.06666666603535701,0.8,0.4166666666666667,0
adam,530,2.853333470918449e-09,1.4223697650651654e-16,0.06666666603612238,0.8,0.4166666666666667,0
adam,540,2.853333674829961e-09,3.6308423352857774e-16,0.06666666603388935,0.8,0.4166666666666667,0
adam,550,2.853334672656784e-09,1.5257482502031888e-15,0.06666666602972758,0.8,0.4166666666666667,0
adam,560,2.8533456835778933e-09,1.5892391188291453e-14,0.0666666660109542,0.8,0.4166666666666667,0
adam,570,2.853769275327383e-09,6.558957159361736e-13,0.06666666586534509,0.8,0.4166666666666667,0
adam,580,2.9242639926937192e-09,1.2364806228652517e-10,0.06666666366964805,0.8,0.4166666666666667,0
adam,590,4.785005311971465e-08,8.871448734073047e-08,0.06666660252171484,0.8,0.4166666666666667,0
adam,599,2.9578999513445335e-05,4.6391303008813065e-05,0.06666816545832951,0.8,0.4166666666666667,0
lbfgs_final,600,4.815490545367481e-14,4.943739137166108e-14,0.06666669800281787,0.8,0.4166666666666667,0
adam,0,1.5521409707294118,1.3852660892438378,0.13533804399604651,0.8,0.4166666666666667,1
adam,10,0.6391258463648062,0.6374835270520706,-0.028371084172957587,0.8,0.4166666666666667,1
adam,20,0.30319791046151934,0.29338578452911496,0.08959418312948875,0.8,0.4166666666666667,1
adam,30,0.13560378326791844,0.12612098217369785,0.0970220302840252,0.8,0.4166666666666667,1
adam,40,0.05378444540562772,0.05048977244759151,0.08927755775941808,0.8,0.4166666666666667,1
adam,50,0.017656849866004177,0.016365555357991446,0.07223993025808353,0.8,0.4166666666666667,1
adam,60,0.004005043971956736,0.0036379771816129696,0.06977166545774015,0.8,0.4166666666666667,1
adam,70,0.0005218299162418127,0.0004640211321179606,0.06750801358035605,0.8,0.4166666666666667,1
adam,80,4.949843916846227e-05,7.997116971801705e-05,0.06758212997963181,0.8,0.4166666666666667,1
adam,90,0.00012054224199235691,0.0001322091508777895,0.06499466654111934,0.8,0.4166666666666667,1
adam,100,9.268019095528152e-05,9.315226657063475e-05,0.06626054342816255,0.8,0.4166666666666667,1
adam,110,3.488963851077083e-05,3.287344305030338e-05,0.06660723317227513,0.8,0.4166666666666667,1
adam,120,7.826649484442853e-06,6.676386765977293e-06,0.06650574188544314,0.8,0.4166666666666667,1
adam,130,9.122285481185593e-07,8.056184010411844e-07,0.06649056038577837,0.8,0.4166666666666667,1
adam,140,3.8859247508329854e-07,3.9966959196857183e-07,0.06680152111536913,0.8,0.4166666666666667,1
adam,150,4.138641858260043e-07,4.057695039709699e-07,0.06672278202666736,0.8,0.4166666666666667,1
adam,160,1.986605128439757e-07,1.775491587991958e-07,0.06665533330455113,0.8,0.4166666666666667,1
adam,170,3.732232134109676e-08,2.887130728910738e-08,0.0666697292712567,0.8,0.4166666666666667,1
adam,180,5.7719609311332314e-09,3.1145592129956963e-09,0.06666979565879547,0.8,0.4166666666666667,1
adam,190,6.870424039483967e-09,4.2691267012866165e-09,0.0666734823514714,0.8,0.4166666666666667,1
adam,200,5.62794087495252e-09,2.5734866396468517e-09,0.06666147287435689,0.8,0.4166666666666667,1
